div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,start_time,end_time
1.0335967172978675,0.6465786661702715,0.5026624021665723,1.7858818300456203,3.3333333333999997,1.69078476393897,3.47666659398459,0.193973599847202,0.0,0.0,0.0,3.3333333333999997
0.8707109288491031,0.46103200348843393,0.5302105388068915,1.18380633129848,2.3333333333799997,1.84336526804849,3.02717159934697,0.1975851443482343,0.0,1.0,3.500000000007,5.83333333345
1.043130105889037,0.6339923599488319,0.5243401164434714,1.57046632207513,3.50000000007,1.58726750889596,3.15773383097109,0.181140674267472,0.0,2.0,6.000000000012,9.50000000019
1.0444703283686627,0.689906462037239,0.47055493499356427,1.8122720537756298,7.33333333348,1.48588723755958,3.29815929133521,0.0940781539122874,0.0,3.0,9.666666666686,17.00000000034
1.0717695703014885,0.7070839023069839,0.4644360281980651,2.00308276482793,8.83333333351,1.53178400163227,3.5348667664602,0.0800472342218312,0.0,4.0,17.166666666701,26.00000000052
0.9169886685640706,0.5233298290175783,0.5037360866732992,1.46079281787956,3.50000000007,1.78063995184816,3.24143276972772,0.1495228082877462,0.0,5.0,26.166666666719,29.66666666726
0.9146445167703323,0.547053628177851,0.5066385187463344,1.32252401224045,3.3333333333999997,1.64223469707068,2.96475870931113,0.164116088450073,0.0,6.0,29.833333333393,33.16666666733
,,0.4970219417061409,,,1.47355013039201,,,0.0,7.0,33.3333333334,
,,,,,,,,1.0,0.0,0.0,
0.9861304215832539,0.628936373377956,0.4830465418339642,1.6756035129111198,3.3333333333999997,1.60886586705962,3.28446937997074,0.1886809120096132,2.0,0.0,0.0,3.3333333333999997
1.0524461816125394,0.6367031653333454,0.5129328286273165,1.77201508796531,3.8333333334099997,1.6847121696082,3.45672725757351,0.1660964779097247,2.0,1.0,3.500000000007,7.33333333348
1.0338091544174033,0.6395592512410281,0.5123018583296257,1.8027084854100799,3.66666666674,1.77088779779358,3.57359628320366,0.1744252503349737,2.0,2.0,7.5000000000150004,11.166666666889999
1.1102037327111767,0.6836204730040639,0.5243788193246436,2.09350173308622,4.83333333343,1.87391819972927,3.96741993281549,0.1414387185497362,2.0,3.0,11.333333333356,16.16666666699
1.08371518724454,0.6581811283839222,0.5247354679783853,2.2177072802561497,5.666666666779999,2.08184595511271,4.29955323536886,0.1161496108889574,2.0,4.0,16.333333333366,22.00000000044
0.8372406721005015,0.40599385638643987,0.5102366917304199,1.4059710217786798,2.50000000005,2.19378981873343,3.59976084051211,0.162397542551328,2.0,5.0,22.166666666711,24.666666667159998
0.946550790429953,0.5913385260766939,0.48938112999278116,1.64570144111195,3.66666666674,1.76165502783358,3.40735646894553,0.1612741434722365,2.0,6.0,24.833333333383,28.500000000569997
0.9596044736092623,0.5705580621087896,0.5141240908468606,1.5179104639938,4.00000000008,1.75180404678779,3.26971451078159,0.1426395155243446,2.0,7.0,28.666666666724,32.66666666732
1.006120857240174,0.5892249997367348,0.5451426644150843,1.50726708623407,3.3333333333999997,1.78246088028414,3.28972796651821,0.1767674999174851,2.0,8.0,32.833333333399,36.16666666739
,,0.5247105475491161,,,1.72615496259941,,,2.0,9.0,36.333333333406,
1.1148221353732122,0.6740504979044182,0.49773487292067314,1.96301257646163,5.166666666769999,1.58334140848023,3.54635398494186,0.1304613866885685,3.0,0.0,0.0,5.166666666769999
1.0693271530178285,0.7033407173305147,0.47388431820776394,2.11165107003375,5.666666666779999,1.68056154027756,3.79221261031131,0.1241189501146673,3.0,1.0,5.333333333344,11.00000000022
0.8657604744916768,0.5071390081497203,0.4895598077973073,1.4266329122459103,2.66666666672,1.85651487663053,3.28314778887644,0.1901771280523416,3.0,2.0,11.166666666689,13.83333333361
1.0821513244365957,0.6826307522922923,0.4874124854142119,1.9526155042952802,3.8333333334099997,1.60024722375844,3.55286272805372,0.1780775875509495,3.0,3.0,14.000000000028,17.83333333369
1.02981924002169,0.6891815602477044,0.48020886379730493,1.9526902206392,6.166666666789999,1.70611617386647,3.65880639450567,0.111759171929825,3.0,4.0,18.000000000036,24.16666666715
1.5434678911647939,0.9366489131160244,0.5090690189986721,3.78466520795086,5.0000000001,1.86258498195707,5.64725018990793,0.1873297826194583,3.0,5.0,24.333333333382,29.33333333392
0.5484847034371801,0.49342276981542077,0.35119581214370715,1.1141397288237902,2.8333333333899997,1.98329061682342,3.09743034564721,0.1741492128725479,3.0,6.0,29.500000000059,32.33333333398
1.0811454261071534,0.5878948390042033,0.5566906540791329,1.6244621257990801,3.8333333334099997,1.7243105250829,3.34877265088198,0.1533638710415075,3.0,7.0,32.500000000065,36.33333333406
,,0.5211065543379824,,,1.74506737736238,,,3.0,8.0,36.500000000073,
1.053937311276143,0.663252182984152,0.5149317702167104,1.8697070190292,4.166666666749999,1.78619971735904,3.65590673638824,0.1591805239130129,4.0,0.0,0.0,4.166666666749999
0.935444058146308,0.5017493006841764,0.5541744872336364,1.3938859926794902,3.50000000007,2.02601024101195,3.41989623369144,0.1433569430497547,4.0,1.0,4.333333333342,7.83333333349
0.9512500571660086,0.5376509201971769,0.5488747157393755,1.37608191467525,5.666666666779999,1.87709457312555,3.2531764878008,0.0948795741505454,4.0,2.0,8.000000000016,13.66666666694
0.9846625567569715,0.5352211213718082,0.5511380924059097,1.4103315943133101,3.66666666674,1.79294948374629,3.2032810780596,0.1459693967348465,4.0,3.0,13.833333333361,17.50000000035
0.9512743152056273,0.5681081725187217,0.5008113509767692,1.44295948968094,4.166666666749999,1.60423952426135,3.04719901394229,0.1363459614017663,4.0,4.0,17.666666666702,21.83333333377
1.079202155045368,0.6480822586918703,0.5101550646777647,1.7339997326548902,4.166666666749999,1.55454401004375,3.28854374269864,0.1555397420829381,4.0,5.0,22.000000000044,26.16666666719
